=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Year: 2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986"
"Species Name: PACIFIC SLEEPER SHARK"
=========================================================================
"Year","T Table","Haul Join","Port Join","Cruise","Permit","Length Seq","Haul Offload Date","Haul Offload","Fishing Depth (Fathoms)","Bottom Depth (Fathoms)","IFQ Flag","Gear","Gear Description","Performance","Performance Description","FMP Area","FMP Subarea","NMFS Area","Species Code","Species Name","Sex","Length (cm)","Frequency","Eggs","Viability","Injury","Sample System","Vessel","Vessel Length (ft)","LatDD Start","LonDD Start","LatDD End","LonDD End","Received from NORPAC","Loaded to Repository"
2009,ATL_HAUL,'12649003794000001122',,12649,3794,3402,08-MAR-09,152,52,64,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,U,144,1,,,,2,A115,376,56.63333,-171.25,56.56667,-170.83333,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12937005320000000582',12937,5320,221,27-JUN-09,13,,,,2,PELAGIC,,,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,104,1,,,,5,A285,,,,,,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11991003257000000462',,11991,3257,1830,17-JUL-08,66,42,55,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,U,145,1,,,,2,A358,200,58.4,-172.28333,58.25,-172.45,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12019003414000000572',,12019,3414,5762,29-JUN-08,208,50,62,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,127,1,,,,2,A091,240,58.60167,-173.33833,58.51333,-173.35333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11794003870000000018',,11794,3870,184,05-FEB-08,8,200,245,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,F,101,1,,,,2,A225,304,54.48333,-165.81667,54.48333,-165.9,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11794003870000000028',,11794,3870,333,07-FEB-08,13,220,250,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,92,1,,,,2,A225,304,55.33333,-168,55.18333,-167.85,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12051003896000001708',,12051,3896,181641,04-JUL-08,256,101,135,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,108,1,,,,3,A080,336,59.465,-177.605,59.28833,-177.62167,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12375003996000120833',,12375,3996,195196,14-OCT-08,180,70,80,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,141,1,,,,2,A315,106,54.73333,-165.23333,54.8,-165.15,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12051003896000001914',,12051,3896,11202,29-JUL-08,334,119,132,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,150,1,,,,3,A080,336,59.66167,-177.455,59.66667,-177.59833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000702',,11671,4055,4418,18-MAR-08,157,260,320,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,77,1,,,,2,A262,285,56,-168.7,56.01667,-168.66667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000660',,11671,4055,4103,14-MAR-08,144,280,330,N,2,PELAGIC,5,OTHER PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,78,1,,,,2,A262,285,56.16667,-169.11667,56.16667,-169.11667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000696',,11671,4055,4351,18-MAR-08,154,270,330,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,80,1,,,,2,A262,285,56.01667,-168.73333,56.03333,-168.71667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11648003896000000672',,11648,3896,3153,05-MAR-08,139,52,60,N,2,PELAGIC,9,FISHING DURATION AFFECTED,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,125,1,,,,2,A080,336,56.18667,-166.46333,56.18,-166.47167,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000414',,11671,4055,2494,18-FEB-08,83,265,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,121,1,,,,2,A262,285,56.13333,-169.03333,56.13333,-168.91667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000414',,11671,4055,2492,18-FEB-08,83,265,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,102,1,,,,2,A262,285,56.13333,-169.03333,56.13333,-168.91667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000422',,11671,4055,2505,18-FEB-08,84,270,300,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,115,1,,,,2,A262,285,56.15,-169.06667,56.2,-169.38333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11678003396000000532',,11678,3396,3484,06-MAR-08,131,270,300,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,93,1,,,,2,A069,275,56.15167,-168.835,56.13,-168.87,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11678003396000000534',,11678,3396,3486,06-MAR-08,132,290,325,N,2,PELAGIC,5,OTHER PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,96,1,,,,2,A069,275,56.14167,-168.97333,56.09667,-168.69833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000646',,11671,4055,3925,12-MAR-08,137,290,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,101,1,,,,2,A262,285,56.13333,-168.98333,56.16667,-169.11667,19-JUL-22,20-JUL-22
2016,ATL_HAUL_SAMPLE,'21042003245000002744',,21042,3245,20521,07-JUN-16,1079,170,240,N,2,PELAGIC,1,NO PROBLEM,WOC,WOC,670,62,PACIFIC SLEEPER SHARK,U,124,1,,,,10,A045,270,47.66333,-125.14833,47.85833,-125.29667,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12937005320000000702',12937,5320,383,10-JUL-09,28,,,,2,PELAGIC,,,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,M,121,1,,,,5,A342,,,,,,19-JUL-22,20-JUL-22
1996,DOMESTIC_HAUL,'642543',,3826,2076,,18-MAR-96,12,57,57,N,1,NON PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,106,1,,,,,A248,75,,,54.71667,-165.2,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12019003414000000670',,12019,3414,5763,21-JUL-08,257,61,73,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,178,1,,,,2,A091,240,58.76833,-174.18,58.80667,-174.455,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12264003703000003066',,12264,3703,23236,03-OCT-08,1117,50,70,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,94,1,,,,2,A090,635,59.16667,-175.06667,59.1,-174.88333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000282',,11671,4055,1797,10-FEB-08,65,220,260,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,89,1,,,,2,A262,285,56.01667,-168.53333,56.01667,-168.6,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000652',,11671,4055,4013,13-MAR-08,140,275,305,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,80,1,,,,2,A262,285,56.1,-168.66667,56.05,-168.61667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000660',,11671,4055,4102,14-MAR-08,144,280,330,N,2,PELAGIC,5,OTHER PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,86,1,,,,2,A262,285,56.16667,-169.11667,56.16667,-169.11667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12166003261000002978',,12166,3261,11021,20-AUG-08,516,56,65,N,2,PELAGIC,2,CRAB POT IN HAUL,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,150,1,,,,2,A041,341,59.19667,-174.32833,59.15833,-174.59333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12086000422000001344',,12086,422,3036,13-SEP-08,132,58,58,N,2,PELAGIC,2,CRAB POT IN HAUL,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,F,130,1,,,,3,A169,127,55.02472,-164.8975,55.18167,-164.84833,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12878005310000000807',12878,5310,1005,09-JUL-09,58,,,,2,PELAGIC,,,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,F,130,1,,,,5,A048,,,,,,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12937005320000000741',12937,5320,419,12-JUL-09,32,,,,2,PELAGIC,,,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,M,111,1,,,,5,A061,,,,,,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12036003010000000986',,12036,3010,2988,28-JUN-08,27,127,137,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,129,1,,,,2,A063,155,54.65611,-165.51139,54.51417,-165.63139,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12107003442000003068',,12107,3442,13021,09-SEP-08,428,44,53,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,116,1,,,,3,A136,256,59.87167,-174.03167,59.82,-174.25833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12264003703000002678',,12264,3703,20271,12-SEP-08,940,74,84,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,126,1,,,,2,A090,635,59.48333,-176.9,59.56667,-176.9,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11649000422000000262',,11649,422,441,17-FEB-08,22,72,72,N,1,NON PELAGIC,1,NO PROBLEM,BSAI,AI,541,62,PACIFIC SLEEPER SHARK,M,181,1,,,,2,A169,127,51.64028,-176.46083,51.70472,-176.34806,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11832000410000114391',,11832,410,137003,25-MAR-08,57,110,128,N,2,PELAGIC,1,NO PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,M,252,1,,,,2,A567,77,57.51667,-155.01167,57.45,-155,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12038001652000000422',,12038,1652,1297,19-JUN-08,49,41,51,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,F,103,1,,,,5,A061,125,55.38333,-163.95,55.51667,-163.98333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000658',,11671,4055,4076,14-MAR-08,143,280,330,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,92,1,,,,2,A262,285,56.06667,-168.68333,56.16667,-169.1,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000696',,11671,4055,4357,18-MAR-08,154,270,330,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,71,1,,,,2,A262,285,56.01667,-168.73333,56.03333,-168.71667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000698',,11671,4055,4358,18-MAR-08,155,280,340,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,76,1,,,,2,A262,285,56.01667,-168.7,55.98333,-168.66667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12148003261000002648',,12148,3261,9382,17-JUL-08,413,53,63,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,103,1,,,,2,A041,341,58.89167,-173.52,58.915,-173.565,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12062004560000119787',,12062,4560,177415,10-SEP-08,77,,525,Y,6,POT OR TRAP,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,M,107,1,,,,2,A386,101,54.18333,-166.47778,54.22556,-166.45528,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000646',,11671,4055,3933,12-MAR-08,137,290,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,61,1,,,,2,A262,285,56.13333,-168.98333,56.16667,-169.11667,19-JUL-22,20-JUL-22
1995,DOMESTIC_HAUL,'770451',,3444,685,,16-SEP-95,14,57,57,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,F,198,1,,,,,A139,100,,,55.36667,-164.75,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12074003388000000670',,12074,3388,2941,23-JUL-08,115,70,72,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,U,142,1,,,,2,A055,155,56.38333,-168.38333,56.435,-167.98,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12019003414000000646',,12019,3414,4414,14-JUL-08,245,61,73,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,140,1,,,,2,A091,240,59.33167,-176.26833,59.33333,-176.33667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12269003896000002326',,12269,3896,13532,15-SEP-08,449,101,115,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,524,62,PACIFIC SLEEPER SHARK,F,111,1,,,,2,A080,336,60.55,-178.68833,60.54167,-178.585,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11662003245000000188',,11662,3245,1435,08-FEB-08,50,246,270,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,93,1,,,,2,A045,270,55.63333,-168.83333,55.8,-168.83333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11662003245000000176',,11662,3245,1286,05-FEB-08,45,275,300,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,F,107,1,,,,2,A045,270,54.48333,-165.98333,54.48333,-165.98333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11832000410000114334',,11832,410,136042,18-MAR-08,52,195,210,N,2,PELAGIC,1,NO PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,F,390,1,,,,2,A567,77,56,-154.7,55.98667,-154.67,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000286',,11671,4055,1859,11-FEB-08,67,225,250,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,86,1,,,,2,A262,285,56,-168.61667,56.06667,-168.48333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11648003896000000368',,11648,3896,3154,17-FEB-08,80,265,288,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,119,1,,,,2,A080,336,54.38333,-165.95667,54.53833,-165.88333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000430',,11671,4055,2667,19-FEB-08,88,250,290,N,2,PELAGIC,5,OTHER PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,72,1,,,,2,A262,285,56.08333,-168.55,56.08333,-168.56667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12222001607000001746',,12222,1607,5436,18-OCT-08,566,42,52,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,524,62,PACIFIC SLEEPER SHARK,F,127,1,,,,3,A255,305,60.93333,-175.01667,61.08333,-175.36667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12362002924000001668',,12362,2924,8291,19-OCT-08,699,80,80,N,1,NON PELAGIC,1,NO PROBLEM,GOA,WG,610,62,PACIFIC SLEEPER SHARK,F,210,1,,,,2,A563,107,54.4,-160.205,54.52,-160.42667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000646',,11671,4055,3934,12-MAR-08,137,290,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,60,1,,,,2,A262,285,56.13333,-168.98333,56.16667,-169.11667,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12878005310000000782',12878,5310,1704,04-JUL-09,46,,,,2,PELAGIC,,,BSAI,BS,509,62,PACIFIC SLEEPER SHARK,M,108,1,,,,5,A044,,,,,,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12107003442000002604',,12107,3442,10080,19-JUL-08,298,65,75,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,136,1,,,,3,A136,256,59.925,-177.99833,59.85333,-177.715,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12074003388000000704',,12074,3388,2944,28-JUL-08,120,100,102,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,M,101,1,,,,2,A055,155,54.355,-165.84333,54.465,-165.67167,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11988006172000118748',,11988,6172,170558,29-JUN-08,275,,329,Y,6,POT OR TRAP,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,M,100,1,,,,2,A650,78,54.36667,-166.65,54.4,-166.7,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12051003896000001814',,12051,3896,10436,18-JUL-08,292,132,140,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,135,1,,,,3,A080,336,59.43833,-177.62167,59.42167,-177.61333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12038001652000000704',,12038,1652,2071,16-JUL-08,79,48,58,N,2,PELAGIC,2,CRAB POT IN HAUL,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,113,1,,,,5,A061,125,58.63333,-172.86667,58.6,-172.53333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000244',,11671,4055,1580,09-FEB-08,61,200,225,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,100,1,,,,2,A262,285,55.98333,-168.65,56.01667,-168.63333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000698',,11671,4055,4360,18-MAR-08,155,280,340,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,110,1,,,,2,A262,285,56.01667,-168.7,55.98333,-168.66667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12429003336000001010',,12429,3336,4844,23-NOV-08,516,,83,N,8,LONGLINER,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,129,1,,,,2,A237,155,59.26,-176.94833,59.31333,-177.205,19-JUL-22,20-JUL-22
2016,ATL_HAUL_SAMPLE,'21042003245000002748',,21042,3245,20524,07-JUN-16,1081,130,400,N,2,PELAGIC,1,NO PROBLEM,WOC,WOC,670,62,PACIFIC SLEEPER SHARK,F,119,1,,,,10,A045,270,47.645,-125.155,47.68667,-125.16167,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12222001607000001310',,12222,1607,4110,27-SEP-08,494,52,69,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,123,1,,,,3,A255,305,58.85,-174.08333,58.48333,-174.1,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11988006172000118656',,11988,6172,162929,25-JUN-08,251,,313,Y,6,POT OR TRAP,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,M,108,1,,,,2,A650,78,54.31667,-166.06667,54.35,-166.03333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11794003870000000064',,11794,3870,656,09-FEB-08,22,270,320,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,119,1,,,,2,A225,304,56.01667,-168.7,55.95,-168.81667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11832000410000114391',,11832,410,137004,25-MAR-08,57,110,128,N,2,PELAGIC,1,NO PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,F,234,1,,,,2,A567,77,57.51667,-155.01167,57.45,-155,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12051003896000002130',,12051,3896,12593,28-AUG-08,406,117,125,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,176,1,,,,2,A080,336,59.515,-177.63,59.47667,-177.6,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000422',,11671,4055,2504,18-FEB-08,84,270,300,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,86,1,,,,2,A262,285,56.15,-169.06667,56.2,-169.38333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000428',,11671,4055,2638,19-FEB-08,87,250,290,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,62,1,,,,2,A262,285,56.16667,-169.06667,56.21667,-169.38333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11678003396000000532',,11678,3396,3481,06-MAR-08,131,270,300,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,M,83,1,,,,2,A069,275,56.15167,-168.835,56.13,-168.87,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000642',,11671,4055,3853,11-MAR-08,135,250,285,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,80,1,,,,2,A262,285,55.93333,-168.71667,56.08333,-168.73333,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'11671004055000000646',,11671,4055,3932,12-MAR-08,137,290,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,93,1,,,,2,A262,285,56.13333,-168.98333,56.16667,-169.11667,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000646',,11671,4055,3927,12-MAR-08,137,290,310,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,84,1,,,,2,A262,285,56.13333,-168.98333,56.16667,-169.11667,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'13144027990000000786',13144,27990,4301,05-OCT-09,6,,,,2,PELAGIC,,,GOA,CG,620,62,PACIFIC SLEEPER SHARK,F,251,1,,,,5,A346,,,,,,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12107003442000002900',,12107,3442,12185,20-AUG-08,384,62,71,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,F,125,1,,,,3,A136,256,58.57,-174.01167,58.53,-173.94167,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12264003703000002720',,12264,3703,21669,14-SEP-08,961,85,95,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,524,62,PACIFIC SLEEPER SHARK,F,155,1,,,,2,A090,635,60.55,-178.4,60.48333,-178.35,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12264003703000002720',,12264,3703,20887,14-SEP-08,961,85,95,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,524,62,PACIFIC SLEEPER SHARK,F,99,1,,,,2,A090,635,60.55,-178.4,60.48333,-178.35,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'12264003703000002734',,12264,3703,21667,15-SEP-08,968,84,94,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,524,62,PACIFIC SLEEPER SHARK,F,84,1,,,,2,A090,635,60.38333,-178.31667,60.55,-178.2,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11988006172000118608',,11988,6172,162269,22-JUN-08,245,,325,Y,6,POT OR TRAP,1,NO PROBLEM,BSAI,BS,519,62,PACIFIC SLEEPER SHARK,M,86,1,,,,2,A650,78,54.31667,-166.91667,54.31667,-166.86667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12150003007000001202',,12150,3007,3220,02-SEP-08,112,198,210,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,105,1,,,,2,A006,180,54.62333,-166.15333,54.59667,-166.27833,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000436',,11671,4055,2736,21-FEB-08,91,250,290,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,90,1,,,,2,A262,285,56.01667,-168.63333,56,-168.66667,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12109005325000000052',,12109,5325,217,02-JUL-08,172,,318,Y,8,LONGLINER,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,93,1,,,,2,A659,154,58.58167,-177.15,58.57667,-176.94167,19-JUL-22,20-JUL-22
2008,ATL_HAUL,'12109005325000000052',,12109,5325,218,02-JUL-08,172,,318,Y,8,LONGLINER,1,NO PROBLEM,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,89,1,,,,2,A659,154,58.58167,-177.15,58.57667,-176.94167,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11671004055000000650',,11671,4055,3963,12-MAR-08,139,270,305,N,2,PELAGIC,1,NO PROBLEM,BSAI,BS,517,62,PACIFIC SLEEPER SHARK,F,145,1,,,,2,A262,285,56.1,-168.63333,56.1,-168.73333,19-JUL-22,20-JUL-22
2008,ATL_HAUL_SAMPLE,'11578003673000000544',,11578,3673,2504,20-FEB-08,107,,72,N,8,LONGLINER,1,NO PROBLEM,GOA,CG,620,62,PACIFIC SLEEPER SHARK,F,130,1,,,,2,A107,135,55.76833,-158.1,55.62167,-157.98167,19-JUL-22,20-JUL-22
2009,ATL_OFFLOAD,,'12878005310000000941',12878,5310,1705,27-JUL-09,91,,,,2,PELAGIC,,,BSAI,BS,521,62,PACIFIC SLEEPER SHARK,M,141,1,,,,5,A102,,,,,,19-JUL-22,20-JUL-22
